,dataExtracao,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,2020-08-12,SUDOESTE,"-15,848741","-48,067949",29352,25.8,3537,484,1.6
1,2020-08-12,Águas Claras,"-15,835755","-48,023704",6130,5.4,3592,57,0.9
2,2020-08-12,Recanto das Emas,"-15,91697","-48,101851",3486,3.1,2632,75,2.2
3,2020-08-12,Samambaia,"-15,874647","-48,101735",8073,7.1,3295,150,1.9
4,2020-08-12,Taguatinga,"-15,829303","-48,055925",9655,8.5,4637,173,1.8
5,2020-08-12,Vicente Pires,"-15,80135","-48,029207",2008,1.8,2733,29,1.4
6,2020-08-12,CENTRAL,"-15,787416","-47,904364",17008,14.9,4331,170,1.0
7,2020-08-12,Plano Piloto,"-15,79558","-47,880991",10473,9.2,4547,124,1.2
8,2020-08-12,Sudoeste/Octogonal,"-15,791981","-47,929973",2230,2.0,4035,11,0.5
9,2020-08-12,Cruzeiro,"-15,783461","-47,935849",1148,1.0,3720,11,1.0
10,2020-08-12,Lago Norte,"-15,716136","-47,872314",1177,1.0,3170,8,0.7
11,2020-08-12,Lago Sul,"-15,866769","-47,863069",1783,1.6,5880,13,0.7
12,2020-08-12,Varjão do Torto,"-15,709046","-47,878307",197,0.2,2231,3,0.0
13,2020-08-12,CENTRO SUL,"-15,832904","-47,964603",12662,11.1,3325,193,1.5
14,2020-08-12,Candangolândia,"-15,850394","-47,948315",789,0.7,4829,11,1.4
15,2020-08-12,Parkway,"-15,912218","-47,958777",810,0.7,3512,16,2.0
16,2020-08-12,Guará,"-15,819059","-47,97966",5387,4.7,3832,85,1.6
17,2020-08-12,Núcleo Bandeirante,"-15,872164","-47,968502",1032,0.9,4296,14,1.4
18,2020-08-12,Riacho Fundo I,"-15,882885","-48,016893",2117,1.9,4831,31,1.5
19,2020-08-12,Riacho Fundo II,"-15,924313","-48,037374",1550,1.4,1655,17,1.1
20,2020-08-12,SCIA (Estrutural),"-15,783705","-47,987222",914,0.8,2485,19,2.1
21,2020-08-12,SIA,"-15,802812","-47,960215",63,0.1,2403,0,0.0
22,2020-08-12,NORTE,"-15,661909","-47,813598",9831,8.6,2769,169,1.7
23,2020-08-12,Fercal,"-15,598803","-47,86915",81,0.1,855.15,1,0.0
24,2020-08-12,Planaltina,"-15,713838","-47,520359",4232,3.7,2158,90,2.1
25,2020-08-12,Sobradinho I,"-15,653501","-47,802874",4692,4.1,6593,66,1.4
26,2020-08-12,Sobradinho II,"-15,621837","-47,803434",826,0.7,1055,12,1.5
27,2020-08-12,SUL,"-16,025131","-48,051063",10438,9.2,3824,199,1.9
28,2020-08-12,Gama,"-15,99793","-48,145463",6266,5.5,4360,115,1.8
29,2020-08-12,Santa Maria,"-16,024697","-47,990179",4172,3.7,3227,84,2.0
30,2020-08-12,OESTE,"-15,76191","-48,139419",17731,15.6,3491,391,2.2
31,2020-08-12,Brazlândia,"-15,631225","-48,131325",1677,1.5,2619,35,2.1
32,2020-08-12,Ceilândia,"-15,817297","-48,170523",16054,14.1,3617,356,2.2
33,2020-08-12,LESTE,"-15,835614","-47,715819",9598,8.4,3060,103,1.1
34,2020-08-12,Itapoã,"-15,744747","-47,764271",1579,1.4,2438,16,1.0
35,2020-08-12,Paranoá,"-15,931541","-47,525609",3190,2.8,4270,40,1.3
36,2020-08-12,São Sebastião,"-15,934012","-47,756858",3524,3.1,3038,34,1.0
37,2020-08-12,Jardim Botânico,"-15,855691","-47,809974",1305,1.1,2244,9,0.7
38,2020-08-12,População Privada de Liberdade,"-15,90473","-47,80732",1742,1.5,12974,4,0.2
39,2020-08-12,RA em Investigação,nan,nan,5551,4.9,0,0.0,
40,2020-08-12,Total DF,-15.773805,-47.807301,113913,100,3731,1709,1.5
