,regiao,latitude,longitude,num,porcentagem,incidencia,obitos,porcentagem obitos
0,SUDOESTE,"-15,848741","-48,067949",661,22.8,79.67,13,2.0
1,Águas Claras,"-15,835755","-48,023704",242,8.3,141.82,5,2.1
2,Recanto das Emas,"-15,91697","-48,101851",49,1.7,37.00,2,4.1
3,Samambaia,"-15,874647","-48,101735",161,5.6,65.73,4,2.5
4,Taguatinga,"-15,829303","-48,055925",157,5.4,75.42,2,1.3
5,Vicente Pires,"-15,80135","-48,029207",52,1.8,70.79,0,0.0
6,CENTRAL,"-15,787416","-47,904364",664,22.9,169.09,3,0.5
7,Plano Piloto,"-15,79558","-47,880991",376,13.0,163.26,1,0.3
8,Sudoeste/Octogonal,"-15,791981","-47,929973",78,2.7,141.16,1,1.3
9,Cruzeiro,"-15,783461","-47,935849",30,1.0,97.23,0,0.0
10,Lago Norte,"-15,716136","-47,872314",52,1.8,140.06,0,0.0
11,Lago Sul,"-15,866769","-47,863069",125,4.3,412.27,1,0.8
12,Varjão do Torto,"-15,709046","-47,878307",3,0.1,33.98,0,0.0
13,CENTRO SUL,"-15,832904","-47,964603",298,10.3,78.26,11,3.7
14,Candangolândia,"-15,850394","-47,948315",14,0.5,85.69,0,0.0
15,Parkway,"-15,912218","-47,958777",28,1.0,121.43,0,0.0
16,Guará,"-15,819059","-47,97966",140,4.8,99.60,5,3.6
17,Núcleo Bandeirante,"-15,872164","-47,968502",21,0.7,87.43,1,4.8
18,Riacho Fundo I,"-15,882885","-48,016893",48,1.7,109.55,3,6.3
19,Riacho Fundo II,"-15,924313","-48,037374",19,0.7,20.30,1,5.3
20,SCIA (Estrutural),"-15,783705","-47,987222",26,0.9,70.71,1,3.8
21,SIA,"-15,802812","-47,960215",2,0.1,76.31,0,0.0
22,NORTE,"-15,661909","-47,813598",184,6.3,51.83,2,1.1
23,Fercal,"-15,598803","-47,86915",2,0.1,21.11,0,0.0
24,Planaltina,"-15,713838","-47,520359",96,3.3,48.96,2,2.1
25,Sobradinho I,"-15,653501","-47,802874",78,2.7,109.60,0,0.0
26,Sobradinho II,"-15,621837","-47,803434",8,0.3,10.22,0,0.0
27,SUL,"-16,025131","-48,051063",182,6.3,66.68,7,3.8
28,Gama,"-15,99793","-48,145463",109,3.8,75.86,4,3.7
29,Santa Maria,"-16,024697","-47,990179",73,2.5,56.47,3,4.1
30,OESTE,"-15,76191","-48,139419",205,7.1,40.37,8,3.9
31,Brazlândia,"-15,631225","-48,131325",32,1.1,49.98,0,0.0
32,Ceilândia,"-15,817297","-48,170523",173,6.0,38.98,8,4.6
33,LESTE,"-15,835614","-47,715819",180,6.2,57.40,3,1.7
34,Itapoã,"-15,744747","-47,764271",14,0.5,21.62,0,0.0
35,Paranoá,"-15,931541","-47,525609",32,1.1,42.84,0,0.0
36,São Sebastião,"-15,934012","-47,756858",82,2.8,70.70,1,1.2
37,Jardim Botânico,"-15,855691","-47,809974",52,1.8,89.44,2,3.8
38,População Privada de Liberdade,"-15,90473","-47,80732",468,16.1,3485.77,0,0.0
39,RA em Investigação,nan,nan,58,2.0,0,0.0,
